Season,Episode Title,Restaurant,City,State,Business ID,Rating
6,Go-To Joints,Sol Food Puerto Rican Cuisine,San Rafael,California,Sol-Food-Puerto-Rican-Cuisine-San-Rafael,4.5
6,Homestyle,Giuseppes Restaurant,Phoenix,Arizona,Giuseppes-on-28th-Phoenix,3.5
6,Homestyle,Southern Kitchen Restaurant,Tacoma,Washington,Southern-Kitchen-Tacoma,4
6,Homestyle,Zia Diner and Angel Food Catering,Santa Fe,New Mexico,Zia-Diner-Santa-Fe,3
6,All Kinds of Classics,Blue Marlin Fish House Restaurant,North Miami Beach,Florida,Blue-Marlin-Fish-House-Restaurant-North-Miami-Beach,3.5
6,All Kinds of Classics,Freds Texas Cafe,Fort Worth,Texas,Freds-Texas-Cafe-Fort-Worth,4
6,All Kinds of Classics,Pine State Biscuits,Portland,Oregon,Pine-State-Biscuits-Portland,4
6,All Over The Map,Georgia Greek Restaurant and Deli,Seattle,Washington,Georgias-Greek-Restaurant-and-Deli-Seattle,3.5
6,All Over The Map,Los Tacquitos Grill,Phoenix,Arizona,Los-Tacquitos-Phoenix-2,4
6,All Over The Map,Roccos Cafe,San Francisco,California,Roccos-Cafe-San-Francisco,3.5
6,Old Time Favorites,Blueplate Lunch Counter and Soda Fountain,Portland,Oregon,Blueplate-Lunch-Counter-and-Soda-Fountain-Portland,4
6,Old Time Favorites,Dons Hilltop Kodiak Grill,Boise,Idaho,Hilltop-Station-Boise,5
6,Old Time Favorites,La Camoronera Restaurant and Fish Market,Miami,Florida,La-Camoronera-Seafood-Joint-and-Fish-Market-Miami-2,4
6,Comfort Cookin,Dotties True Blue Cafe,San Francisco,California,Dotties-True-Blue-Cafe-San-Francisco,4
6,Comfort Cookin,Over Easy,Phoenix,Arizona,Over-Easy-Phoenix,3.5
6,Comfort Cookin,Comet Cafe,Milwaukee,Wisconsin,Comet-Cafe-Milwaukee,4
6,Mamas Cookin,Polka Restaurant and Catering,Los Angeles,California,Polka-Polish-Restaurant-Los-Angeles,4
6,Mamas Cookin,Avilas Cafe,Dallas,Texas,Avilas-Mexican-Restaurant-Dallas,4
6,Mamas Cookin,Mama Es,Oklahoma City,Oklahoma,Mama-Es-Wings-and-Waffles-Oklahoma-City,4
7,Upper Crust,Bunk Sandwiches,Portland,Oregon,Bunk-Sandwiches-Portland,4
7,Upper Crust,Sonnys Famous Steak Hogies,Hollywood,Florida,Sonnys-Famous-Steak-Hogies-Hollywood,4
7,Upper Crust,The Depot American Diner,Chicago,Illinois,The-Depot-American-Diner-Chicago,4
7,Burgers Tacos and Dogs,Lankford Grocery,Houston,Texas,Lankford-Grocery-Houston,4
7,Burgers Tacos and Dogs,Fab Hot Dogs,Reseda,California,Fab-Hot-Dogs-Reseda,4
7,Burgers Tacos and Dogs,Cempazuchi,Milwaukee,Wisconsin,Cempazuchi-Milwaukee,3.5
7,Name That Cook,Ricks Press Room and Grill,Meridian,Idaho,Ricks-Press-Room-Grill-and-Bar-Meridian,4.5
7,Name That Cook,Nics Grill,Oklahoma City,Oklahoma,Nics-Grill-Oklahoma-City,4.5
7,Name That Cook,Pams Kitchen,Seattle,Washington,Pams-Kitchen-Seattle,4
7,Global Grub,Prince Lebanese Grill,Arlington,Texas,Prince-Lebanese-Grill-Arlington,4
7,Global Grub,Tre Kronor,Chicago,Illinois,Tre-Kronor-Chicago,4
7,Global Grub,La Texanita,Santa Rosa,California,La-Texanita-Santa-Rosa-2,4
7,Only At This Joint,Podnahs Pit Barbeque,Portland,Oregon,Podnahs-Pit-Barbecue-Portland,4
7,Only At This Joint,Donnie Macs Trailer Park Cuisine,Boise,Idaho,Donnie-Macs-Trailer-Park-Cuisine-Boise,3
7,Only At This Joint,Whales Rib,Deerfield Beach,Florida,Whales-Rib-Deerfield-Beach,4
7,You Picked ‘Em,Eischens Bar and Grill,Okarche,Oklahoma,Eischens-Bar-Okarche,4
7,You Picked ‘Em,Moms Tamales,Los Angeles,California,Moms-Tamales-Los-Angeles,3.5
7,You Picked ‘Em,Kenny and Ziggys,Houston,Texas,Kenny-and-Ziggys-Houston,5
7,You Can Say That Again,Tap Tap Haitian Restaurant,Miami Beach,Florida,Tap-Tap-Haitian-Restaurant-Miami-Beach,4
